date,strategy_id,equity,cumulative_return_pct
2026-06-29,ts_momentum_sma_atr,100000,0
2026-06-29,donchian_breakout_20_10,100000,0
2026-06-29,cross_sectional_relative_strength,100000,0
2026-06-29,pullback_reclaim_uptrend,100000,0
2026-06-29,volatility_contraction_breakout,100000,0
2026-06-29,failed_breakout_reversal_short,100000,0
2026-06-29,bullish_fvg_continuation,100000,0
2026-06-29,ts_momentum_sma_atr,100000,0
2026-06-29,donchian_breakout_20_10,100000,0
2026-06-29,cross_sectional_relative_strength,100000,0
2026-06-29,pullback_reclaim_uptrend,100000,0
2026-06-29,volatility_contraction_breakout,100000,0
2026-06-29,failed_breakout_reversal_short,100000,0
2026-06-29,bullish_fvg_continuation,100000,0
2026-06-26,ts_momentum_sma_atr,100000,0
2026-06-26,donchian_breakout_20_10,100000,0
2026-06-26,cross_sectional_relative_strength,99986.136315,-0.00013864
2026-06-26,pullback_reclaim_uptrend,100000,0
2026-06-26,volatility_contraction_breakout,100000,0
2026-06-26,failed_breakout_reversal_short,100000,0
2026-06-26,bullish_fvg_continuation,100000,0
2026-06-25,ts_momentum_sma_atr,100000,0
2026-06-25,donchian_breakout_20_10,100000,0
2026-06-25,cross_sectional_relative_strength,100000,0
2026-06-25,pullback_reclaim_uptrend,100000,0
2026-06-25,volatility_contraction_breakout,100000,0
2026-06-25,failed_breakout_reversal_short,100000,0
2026-06-25,bullish_fvg_continuation,100000,0
