date,bullish_fvg_continuation,cross_sectional_relative_strength,donchian_breakout_20_10,failed_breakout_reversal_short,pullback_reclaim_uptrend,ts_momentum_sma_atr,volatility_contraction_breakout,aggregate
2026-06-25,0,0,0,0,0,0,0,0
2026-06-26,0,-0.00013864,0,0,0,0,0,-0.00001981
2026-06-29,0,0,0,0,0,0,0,0
