trade_id,strategy_id,strategy_version,symbol,direction,entry_time,exit_time,entry_price,exit_price,stop,target,quantity,gross_pnl,net_pnl,return_pct,r_multiple,exit_reason,holding_bars,fees_paid,slippage_paid,evidence
failed_breakout_reversal_short:AAPL:2026-02-04:22,failed_breakout_reversal_short,v1.0,AAPL,short,2026-02-04T14:30:00+00:00,2026-02-04T14:30:00+00:00,272.153855,273.616025,273.479286,261.481429,73,-106.738436,-110.722556,-0.00557312,-1.14434299,stop,1,3.98412,19.920579,high 271.88 swept prior 20-bar high 271.51 | close 269.48 failed back below prior high
failed_breakout_reversal_short:AAPL:2026-02-06:28,failed_breakout_reversal_short,v1.0,AAPL,short,2026-02-06T14:30:00+00:00,2026-02-12T14:30:00+00:00,276.98144,265.426933,281.217857,265.294286,72,831.924514,828.019174,0.04151999,2.71462085,target,5,3.90534,19.526914,high 279.50 swept prior 20-bar high 278.95 | close 275.91 failed back below prior high
failed_breakout_reversal_short:SPY:2026-04-10:68,failed_breakout_reversal_short,v1.0,SPY,short,2026-04-10T13:30:00+00:00,2026-04-13T13:30:00+00:00,680.97934,684.321633,683.979643,671.770714,29,-96.926488,-100.88586,-0.00510856,-1.15949054,stop,2,3.959373,19.796845,high 681.16 swept prior 20-bar high 680.08 | close 679.91 failed back below prior high
failed_breakout_reversal_short:NVDA:2026-04-13:69,failed_breakout_reversal_short,v1.0,NVDA,short,2026-04-13T13:30:00+00:00,2026-04-14T13:30:00+00:00,185.936985,191.394399,191.29875,183.2925,107,-583.943338,-587.980784,-0.02955382,-1.02487661,stop,2,4.037446,20.187088,high 190.00 swept prior 20-bar high 188.88 | close 188.63 failed back below prior high
failed_breakout_reversal_short:AAPL:2026-04-13:70,failed_breakout_reversal_short,v1.0,AAPL,short,2026-04-13T13:30:00+00:00,2026-04-15T13:30:00+00:00,259.600135,263.845964,263.714107,254.011786,77,-326.928848,-330.959383,-0.0165569,-1.04477465,stop,3,4.030535,20.152598,high 262.19 swept prior 20-bar high 262.16 | close 260.48 failed back below prior high
failed_breakout_reversal_short:AAPL:2026-04-17:72,failed_breakout_reversal_short,v1.0,AAPL,short,2026-04-17T13:30:00+00:00,2026-04-17T13:30:00+00:00,266.82652,268.848464,268.714107,252.771786,74,-149.623871,-153.587865,-0.00777851,-1.09955808,stop,1,3.963995,19.819942,high 267.16 swept prior 20-bar high 266.56 | close 263.40 failed back below prior high
failed_breakout_reversal_short:QQQ:2026-04-22:75,failed_breakout_reversal_short,v1.0,QQQ,short,2026-04-22T13:30:00+00:00,2026-04-22T13:30:00+00:00,649.824925,653.103174,652.776786,627.436429,30,-98.347473,-102.256258,-0.00524532,-1.1547096,stop,1,3.908784,19.543902,high 650.20 swept prior 20-bar high 650.00 | close 644.33 failed back below prior high
failed_breakout_reversal_short:AMZN:2026-04-20:76,failed_breakout_reversal_short,v1.0,AMZN,short,2026-04-20T13:30:00+00:00,2026-04-23T13:30:00+00:00,249.065405,258.067183,257.938214,235.803571,80,-720.142271,-724.199332,-0.03634584,-1.0202509,stop,4,4.057061,20.285129,high 256.18 swept prior 20-bar high 252.18 | close 250.56 failed back below prior high
failed_breakout_reversal_short:NVDA:2026-04-22:77,failed_breakout_reversal_short,v1.0,NVDA,short,2026-04-22T13:30:00+00:00,2026-04-24T13:30:00+00:00,200.889505,203.98855,203.886607,191.866786,99,-306.805499,-310.813792,-0.01562816,-1.04752294,stop,3,4.008293,20.041392,high 202.75 swept prior 20-bar high 202.17 | close 199.88 failed back below prior high
failed_breakout_reversal_short:AMZN:2026-04-24:77,failed_breakout_reversal_short,v1.0,AMZN,short,2026-04-24T13:30:00+00:00,2026-04-24T13:30:00+00:00,259.85001,260.629535,260.499286,244.241429,76,-59.243927,-63.199572,-0.00320021,-1.2807707,stop,1,3.955645,19.778213,high 258.79 swept prior 20-bar high 256.18 | close 255.08 failed back below prior high
