trade_id,strategy_id,strategy_version,symbol,direction,entry_time,exit_time,entry_price,exit_price,stop,target,quantity,gross_pnl,net_pnl,return_pct,r_multiple,exit_reason,holding_bars,fees_paid,slippage_paid,evidence
cross_sectional_relative_strength:NVDA:2026-04-10:89,cross_sectional_relative_strength,v1.0,NVDA,long,2026-04-10T13:30:00+00:00,2026-05-12T13:30:00+00:00,184.402155,223.162649,170.788571,223.274286,73,2829.516031,2826.540808,0.20997443,2.84419873,target,23,2.975223,14.876826,rank 2 by volatility-adjusted 60-bar momentum | close 183.91 above SMA50 182.14
cross_sectional_relative_strength:AAPL:2026-04-16:99,cross_sectional_relative_strength,v1.0,AAPL,long,2026-04-16T13:30:00+00:00,2026-05-27T13:30:00+00:00,266.9334,313.078739,250.828214,313.235357,62,2861.011047,2857.414972,0.17265482,2.86164587,target,29,3.596075,17.981096,rank 1 by volatility-adjusted 60-bar momentum | close 266.43 above SMA50 260.81
cross_sectional_relative_strength:QQQ:2026-04-28:101,cross_sectional_relative_strength,v1.0,QQQ,long,2026-04-28T13:30:00+00:00,2026-05-29T13:30:00+00:00,657.738705,740.11333,638.812143,740.483571,30,2471.238739,2467.045183,0.12502661,4.3449433,target,23,4.193556,20.968404,rank 2 by volatility-adjusted 60-bar momentum | close 664.23 above SMA50 607.69
cross_sectional_relative_strength:QQQ:2026-06-01:106,cross_sectional_relative_strength,v1.0,QQQ,long,2026-06-01T13:30:00+00:00,2026-06-05T13:30:00+00:00,737.40852,711.468374,711.824286,817.767143,27,-700.383954,-704.295921,-0.03537393,-1.01957455,stop,5,3.911968,19.559668,rank 1 by volatility-adjusted 60-bar momentum | close 738.31 above SMA50 652.93
cross_sectional_relative_strength:SPY:2026-06-02:106,cross_sectional_relative_strength,v1.0,SPY,long,2026-06-02T13:30:00+00:00,2026-06-05T13:30:00+00:00,757.408515,741.146027,741.516786,809.609643,26,-422.82468,-426.720921,-0.02166908,-1.03276005,stop,4,3.896242,19.481108,rank 2 by volatility-adjusted 60-bar momentum | close 758.54 above SMA50 705.62
cross_sectional_relative_strength:AAPL:2026-06-08:108,cross_sectional_relative_strength,v1.0,AAPL,long,2026-06-08T13:30:00+00:00,2026-06-09T13:30:00+00:00,308.89437,292.877417,293.023929,350.288214,63,-1009.068064,-1012.859226,-0.05204734,-1.01302353,stop,2,3.791162,18.955564,rank 1 by volatility-adjusted 60-bar momentum | close 307.34 above SMA50 281.24
cross_sectional_relative_strength:SPY:2026-06-08:120,cross_sectional_relative_strength,v1.0,SPY,long,2026-06-08T13:30:00+00:00,2026-06-26T13:30:00+00:00,743.73168,719.325871,719.685714,791.142857,26,-634.551023,-638.354972,-0.03301206,-1.02104921,stop,14,3.80395,19.019594,rank 2 by volatility-adjusted 60-bar momentum | close 737.55 above SMA50 713.51
cross_sectional_relative_strength:AMZN:2026-04-14:123,cross_sectional_relative_strength,v1.0,AMZN,long,2026-04-14T13:30:00+00:00,2026-07-01T13:30:00+00:00,241.90089,241.57915,223.0775,290.3275,53,-17.05222,-19.614664,-0.00152992,-0.01966107,end_of_test_liquidation,55,2.562444,12.81222,rank 2 by volatility-adjusted 60-bar momentum | close 239.89 above SMA50 213.37
cross_sectional_relative_strength:QQQ:2026-06-09:123,cross_sectional_relative_strength,v1.0,QQQ,long,2026-06-09T13:30:00+00:00,2026-07-01T13:30:00+00:00,723.34149,724.807415,685.845,806.745,26,38.11405,34.348863,0.0018264,0.0352329,end_of_test_liquidation,16,3.765187,18.82595,rank 2 by volatility-adjusted 60-bar momentum | close 716.07 above SMA50 670.65
cross_sectional_relative_strength:AAPL:2026-06-11:123,cross_sectional_relative_strength,v1.0,AAPL,long,2026-06-11T13:30:00+00:00,2026-07-01T13:30:00+00:00,293.86686,294.23281,273.205,346.705,48,17.5656,14.742722,0.00104517,0.01486507,end_of_test_liquidation,14,2.822878,14.1144,rank 1 by volatility-adjusted 60-bar momentum | close 291.58 above SMA50 283.94
cross_sectional_relative_strength:SPY:2026-06-30:123,cross_sectional_relative_strength,v1.0,SPY,long,2026-06-30T13:30:00+00:00,2026-07-01T13:30:00+00:00,741.660645,745.38712,710.001786,833.994643,26,96.88835,93.022026,0.004824,0.11301008,end_of_test_liquidation,2,3.866324,19.33165,rank 1 by volatility-adjusted 60-bar momentum | close 741.00 above SMA50 735.14
