strategy_id,month,start_equity,end_equity,return_pct
donchian_breakout_20_10,2026-01,100000,100000,0
donchian_breakout_20_10,2026-02,100000,97989.5615,-0.02010439
donchian_breakout_20_10,2026-03,97989.5615,97989.5615,0
donchian_breakout_20_10,2026-04,97989.5615,102961.7509,0.05074203
donchian_breakout_20_10,2026-05,104223.5609,111754.9104,0.07226149
donchian_breakout_20_10,2026-06,111247.2504,105786.3747,-0.04908774
donchian_breakout_20_10,2026-07,105786.3747,105786.3747,0
