timestamp,equity,cash,open_positions,drawdown_pct
2026-01-05T14:30:00+00:00,100000,100000,0,0
2026-01-06T14:30:00+00:00,100000,100000,0,0
2026-01-07T14:30:00+00:00,100000,100000,0,0
2026-01-08T14:30:00+00:00,100000,100000,0,0
2026-01-09T14:30:00+00:00,100000,100000,0,0
2026-01-12T14:30:00+00:00,100000,100000,0,0
2026-01-13T14:30:00+00:00,100000,100000,0,0
2026-01-14T14:30:00+00:00,100000,100000,0,0
2026-01-15T14:30:00+00:00,100000,100000,0,0
2026-01-16T14:30:00+00:00,100000,100000,0,0
2026-01-20T14:30:00+00:00,100000,100000,0,0
2026-01-21T14:30:00+00:00,100000,100000,0,0
2026-01-22T14:30:00+00:00,100000,100000,0,0
2026-01-23T14:30:00+00:00,100000,100000,0,0
2026-01-26T14:30:00+00:00,100000,100000,0,0
2026-01-27T14:30:00+00:00,100000,100000,0,0
2026-01-28T14:30:00+00:00,100000,100000,0,0
2026-01-29T14:30:00+00:00,100000,100000,0,0
2026-01-30T14:30:00+00:00,100000,100000,0,0
2026-02-02T14:30:00+00:00,100000,100000,0,0
2026-02-03T14:30:00+00:00,100000,100000,0,0
2026-02-04T14:30:00+00:00,100000,100000,0,0
2026-02-05T14:30:00+00:00,100000,100000,0,0
2026-02-06T14:30:00+00:00,100000,100000,0,0
2026-02-09T14:30:00+00:00,100000,100000,0,0
2026-02-10T14:30:00+00:00,100000,100000,0,0
2026-02-11T14:30:00+00:00,100000,100000,0,0
2026-02-12T14:30:00+00:00,100000,100000,0,0
2026-02-13T14:30:00+00:00,100000,100000,0,0
2026-02-17T14:30:00+00:00,100000,100000,0,0
2026-02-18T14:30:00+00:00,100000,100000,0,0
2026-02-19T14:30:00+00:00,100000,100000,0,0
2026-02-20T14:30:00+00:00,100000,100000,0,0
2026-02-23T14:30:00+00:00,100000,100000,0,0
2026-02-24T14:30:00+00:00,100000,100000,0,0
2026-02-25T14:30:00+00:00,100000,100000,0,0
2026-02-26T14:30:00+00:00,100000,100000,0,0
2026-02-27T14:30:00+00:00,100000,100000,0,0
2026-03-02T14:30:00+00:00,100000,100000,0,0
2026-03-03T14:30:00+00:00,100000,100000,0,0
2026-03-04T14:30:00+00:00,100000,100000,0,0
2026-03-05T14:30:00+00:00,100000,100000,0,0
2026-03-06T14:30:00+00:00,100000,100000,0,0
2026-03-09T13:30:00+00:00,100000,100000,0,0
2026-03-10T13:30:00+00:00,100000,100000,0,0
2026-03-11T13:30:00+00:00,100000,100000,0,0
2026-03-12T13:30:00+00:00,100000,100000,0,0
2026-03-13T13:30:00+00:00,100000,100000,0,0
2026-03-16T13:30:00+00:00,100000,100000,0,0
2026-03-17T13:30:00+00:00,100000,100000,0,0
2026-03-18T13:30:00+00:00,100000,100000,0,0
2026-03-19T13:30:00+00:00,100000,100000,0,0
2026-03-20T13:30:00+00:00,100000,100000,0,0
2026-03-23T13:30:00+00:00,100000,100000,0,0
2026-03-24T13:30:00+00:00,100000,100000,0,0
2026-03-25T13:30:00+00:00,100000,100000,0,0
2026-03-26T13:30:00+00:00,100000,100000,0,0
2026-03-27T13:30:00+00:00,100000,100000,0,0
2026-03-30T13:30:00+00:00,100000,100000,0,0
2026-03-31T13:30:00+00:00,100000,100000,0,0
2026-04-01T13:30:00+00:00,100000,100000,0,0
2026-04-02T13:30:00+00:00,100000,100000,0,0
2026-04-06T13:30:00+00:00,100000,100000,0,0
2026-04-07T13:30:00+00:00,100000,100000,0,0
2026-04-08T13:30:00+00:00,100000,100000,0,0
2026-04-09T13:30:00+00:00,100000,100000,0,0
2026-04-10T13:30:00+00:00,100000,100000,0,0
2026-04-13T13:30:00+00:00,100000,100000,0,0
2026-04-14T13:30:00+00:00,100000,100000,0,0
2026-04-15T13:30:00+00:00,100000,100000,0,0
2026-04-16T13:30:00+00:00,100000,100000,0,0
2026-04-17T13:30:00+00:00,100000,100000,0,0
2026-04-20T13:30:00+00:00,100000,100000,0,0
2026-04-21T13:30:00+00:00,100000,100000,0,0
2026-04-22T13:30:00+00:00,100000,100000,0,0
2026-04-23T13:30:00+00:00,100000,100000,0,0
2026-04-24T13:30:00+00:00,100000,100000,0,0
2026-04-27T13:30:00+00:00,100000,100000,0,0
2026-04-28T13:30:00+00:00,100000,100000,0,0
2026-04-29T13:30:00+00:00,100000,100000,0,0
2026-04-30T13:30:00+00:00,100000,100000,0,0
2026-05-01T13:30:00+00:00,100000,100000,0,0
2026-05-04T13:30:00+00:00,100000,100000,0,0
2026-05-05T13:30:00+00:00,100000,100000,0,0
2026-05-06T13:30:00+00:00,100000,100000,0,0
2026-05-07T13:30:00+00:00,100000,100000,0,0
2026-05-08T13:30:00+00:00,100000,100000,0,0
2026-05-11T13:30:00+00:00,100000,100000,0,0
2026-05-12T13:30:00+00:00,100000,100000,0,0
2026-05-13T13:30:00+00:00,100000,100000,0,0
2026-05-14T13:30:00+00:00,100000,100000,0,0
2026-05-15T13:30:00+00:00,100000,100000,0,0
2026-05-18T13:30:00+00:00,100313.490337,80407.110337,1,0
2026-05-19T13:30:00+00:00,100025.850337,80407.110337,1,-0.00286741
2026-05-20T13:30:00+00:00,100196.930337,80407.110337,1,-0.00116196
2026-05-21T13:30:00+00:00,100104.340337,80407.110337,1,-0.00208496
2026-05-22T13:30:00+00:00,100079.900337,80407.110337,1,-0.0023286
2026-05-26T13:30:00+00:00,99960.520337,80407.110337,1,-0.00351867
2026-05-27T13:30:00+00:00,99802.600337,80407.110337,1,-0.00509293
2026-05-28T13:30:00+00:00,100590.003917,60519.473917,2,0
2026-05-29T13:30:00+00:00,101437.473917,60519.473917,2,0
