timestamp,equity,cash,open_positions,drawdown_pct
2026-01-05T14:30:00+00:00,100000,100000,0,0
2026-01-06T14:30:00+00:00,100000,100000,0,0
2026-01-07T14:30:00+00:00,100000,100000,0,0
2026-01-08T14:30:00+00:00,100000,100000,0,0
2026-01-09T14:30:00+00:00,100000,100000,0,0
2026-01-12T14:30:00+00:00,100000,100000,0,0
2026-01-13T14:30:00+00:00,100000,100000,0,0
2026-01-14T14:30:00+00:00,100000,100000,0,0
2026-01-15T14:30:00+00:00,100000,100000,0,0
2026-01-16T14:30:00+00:00,100000,100000,0,0
2026-01-20T14:30:00+00:00,100000,100000,0,0
2026-01-21T14:30:00+00:00,100000,100000,0,0
2026-01-22T14:30:00+00:00,100000,100000,0,0
2026-01-23T14:30:00+00:00,100000,100000,0,0
2026-01-26T14:30:00+00:00,100000,100000,0,0
2026-01-27T14:30:00+00:00,100000,100000,0,0
2026-01-28T14:30:00+00:00,100000,100000,0,0
2026-01-29T14:30:00+00:00,100000,100000,0,0
2026-01-30T14:30:00+00:00,100000,100000,0,0
2026-02-02T14:30:00+00:00,100000,100000,0,0
2026-02-03T14:30:00+00:00,100000,100000,0,0
2026-02-04T14:30:00+00:00,100000,100000,0,0
2026-02-05T14:30:00+00:00,100000,100000,0,0
2026-02-06T14:30:00+00:00,100000,100000,0,0
2026-02-09T14:30:00+00:00,100000,100000,0,0
2026-02-10T14:30:00+00:00,100000,100000,0,0
2026-02-11T14:30:00+00:00,100000,100000,0,0
2026-02-12T14:30:00+00:00,100000,100000,0,0
2026-02-13T14:30:00+00:00,100000,100000,0,0
2026-02-17T14:30:00+00:00,100000,100000,0,0
2026-02-18T14:30:00+00:00,100000,100000,0,0
2026-02-19T14:30:00+00:00,100000,100000,0,0
2026-02-20T14:30:00+00:00,100000,100000,0,0
2026-02-23T14:30:00+00:00,100000,100000,0,0
2026-02-24T14:30:00+00:00,100000,100000,0,0
2026-02-25T14:30:00+00:00,100000,100000,0,0
2026-02-26T14:30:00+00:00,100000,100000,0,0
2026-02-27T14:30:00+00:00,100000,100000,0,0
2026-03-02T14:30:00+00:00,100000,100000,0,0
2026-03-03T14:30:00+00:00,100000,100000,0,0
2026-03-04T14:30:00+00:00,100000,100000,0,0
2026-03-05T14:30:00+00:00,100000,100000,0,0
2026-03-06T14:30:00+00:00,100000,100000,0,0
2026-03-09T13:30:00+00:00,100000,100000,0,0
2026-03-10T13:30:00+00:00,100000,100000,0,0
2026-03-11T13:30:00+00:00,100000,100000,0,0
2026-03-12T13:30:00+00:00,100000,100000,0,0
2026-03-13T13:30:00+00:00,100000,100000,0,0
2026-03-16T13:30:00+00:00,100000,100000,0,0
2026-03-17T13:30:00+00:00,100000,100000,0,0
2026-03-18T13:30:00+00:00,100000,100000,0,0
2026-03-19T13:30:00+00:00,100000,100000,0,0
2026-03-20T13:30:00+00:00,100000,100000,0,0
2026-03-23T13:30:00+00:00,100000,100000,0,0
2026-03-24T13:30:00+00:00,100000,100000,0,0
2026-03-25T13:30:00+00:00,100000,100000,0,0
2026-03-26T13:30:00+00:00,100000,100000,0,0
2026-03-27T13:30:00+00:00,100000,100000,0,0
2026-03-30T13:30:00+00:00,100000,100000,0,0
2026-03-31T13:30:00+00:00,100000,100000,0,0
2026-04-01T13:30:00+00:00,100000,100000,0,0
2026-04-02T13:30:00+00:00,100000,100000,0,0
2026-04-06T13:30:00+00:00,100000,100000,0,0
2026-04-07T13:30:00+00:00,100000,100000,0,0
2026-04-08T13:30:00+00:00,100000,100000,0,0
2026-04-09T13:30:00+00:00,100497.091044,86478.091044,1,0
2026-04-10T13:30:00+00:00,100751.334209,61492.754209,2,0
2026-04-13T13:30:00+00:00,101659.761466,23518.571466,4,0
2026-04-14T13:30:00+00:00,103725.201466,23518.571466,4,0
2026-04-15T13:30:00+00:00,104378.721466,23518.571466,4,0
2026-04-16T13:30:00+00:00,104303.988701,-10520.281299,6,-0.00071598
2026-04-17T13:30:00+00:00,105749.757505,10161.497505,5,0
2026-04-20T13:30:00+00:00,105574.991813,-9291.368187,6,-0.00165263
2026-04-21T13:30:00+00:00,104955.191813,-9291.368187,6,-0.00751364
2026-04-22T13:30:00+00:00,106995.741813,-9291.368187,6,0
2026-04-23T13:30:00+00:00,105913.161813,-9291.368187,6,-0.01011797
2026-04-24T13:30:00+00:00,107334.803251,52922.883251,3,0
2026-04-27T13:30:00+00:00,107526.359115,-2712.740885,6,0
2026-04-28T13:30:00+00:00,107227.059115,-2712.740885,6,-0.0027835
2026-04-29T13:30:00+00:00,107054.119115,-2712.740885,6,-0.00439185
2026-04-30T13:30:00+00:00,106305.299115,-2712.740885,6,-0.01135591
2026-05-01T13:30:00+00:00,107849.860247,34578.000247,4,0
2026-05-04T13:30:00+00:00,107681.49633,537.22633,6,-0.0015611
2026-05-05T13:30:00+00:00,108514.78633,537.22633,6,0
2026-05-06T13:30:00+00:00,110077.247295,21036.927295,5,0
2026-05-07T13:30:00+00:00,110176.363775,1520.983775,6,0
2026-05-08T13:30:00+00:00,111561.279071,16966.079071,5,0
2026-05-11T13:30:00+00:00,111617.464279,21986.204279,5,0
2026-05-12T13:30:00+00:00,111331.135666,2078.235666,6,-0.00256527
2026-05-13T13:30:00+00:00,112623.619614,23397.539614,5,0
2026-05-14T13:30:00+00:00,113469.155753,3597.545753,6,0
2026-05-15T13:30:00+00:00,112503.795753,3597.545753,6,-0.00850769
2026-05-18T13:30:00+00:00,112133.095753,3597.545753,6,-0.01177465
2026-05-19T13:30:00+00:00,111233.725753,3597.545753,6,-0.01970077
2026-05-20T13:30:00+00:00,112708.045753,3597.545753,6,-0.00670764
