timestamp,equity,cash,open_positions,drawdown_pct
2026-01-05T14:30:00+00:00,100000,100000,0,0
2026-01-06T14:30:00+00:00,100000,100000,0,0
2026-01-07T14:30:00+00:00,100000,100000,0,0
2026-01-08T14:30:00+00:00,100000,100000,0,0
2026-01-09T14:30:00+00:00,100000,100000,0,0
2026-01-12T14:30:00+00:00,100000,100000,0,0
2026-01-13T14:30:00+00:00,100000,100000,0,0
2026-01-14T14:30:00+00:00,100000,100000,0,0
2026-01-15T14:30:00+00:00,100000,100000,0,0
2026-01-16T14:30:00+00:00,100000,100000,0,0
2026-01-20T14:30:00+00:00,100000,100000,0,0
2026-01-21T14:30:00+00:00,100000,100000,0,0
2026-01-22T14:30:00+00:00,100000,100000,0,0
2026-01-23T14:30:00+00:00,100000,100000,0,0
2026-01-26T14:30:00+00:00,100000,100000,0,0
2026-01-27T14:30:00+00:00,100000,100000,0,0
2026-01-28T14:30:00+00:00,100000,100000,0,0
2026-01-29T14:30:00+00:00,100000,100000,0,0
2026-01-30T14:30:00+00:00,100000,100000,0,0
2026-02-02T14:30:00+00:00,100000,100000,0,0
2026-02-03T14:30:00+00:00,100000,100000,0,0
2026-02-04T14:30:00+00:00,100000,100000,0,0
2026-02-05T14:30:00+00:00,100000,100000,0,0
2026-02-06T14:30:00+00:00,100000,100000,0,0
2026-02-09T14:30:00+00:00,100000,100000,0,0
2026-02-10T14:30:00+00:00,100000,100000,0,0
2026-02-11T14:30:00+00:00,100000,100000,0,0
2026-02-12T14:30:00+00:00,100000,100000,0,0
2026-02-13T14:30:00+00:00,100000,100000,0,0
2026-02-17T14:30:00+00:00,100000,100000,0,0
2026-02-18T14:30:00+00:00,100000,100000,0,0
2026-02-19T14:30:00+00:00,100000,100000,0,0
2026-02-20T14:30:00+00:00,100000,100000,0,0
2026-02-23T14:30:00+00:00,100000,100000,0,0
2026-02-24T14:30:00+00:00,100000,100000,0,0
2026-02-25T14:30:00+00:00,100000,100000,0,0
2026-02-26T14:30:00+00:00,100000,100000,0,0
2026-02-27T14:30:00+00:00,100000,100000,0,0
2026-03-02T14:30:00+00:00,100000,100000,0,0
2026-03-03T14:30:00+00:00,100000,100000,0,0
2026-03-04T14:30:00+00:00,100000,100000,0,0
2026-03-05T14:30:00+00:00,100000,100000,0,0
2026-03-06T14:30:00+00:00,100000,100000,0,0
2026-03-09T13:30:00+00:00,100000,100000,0,0
2026-03-10T13:30:00+00:00,100000,100000,0,0
2026-03-11T13:30:00+00:00,100000,100000,0,0
2026-03-12T13:30:00+00:00,100000,100000,0,0
2026-03-13T13:30:00+00:00,100000,100000,0,0
2026-03-16T13:30:00+00:00,100000,100000,0,0
2026-03-17T13:30:00+00:00,100000,100000,0,0
2026-03-18T13:30:00+00:00,100000,100000,0,0
2026-03-19T13:30:00+00:00,100000,100000,0,0
2026-03-20T13:30:00+00:00,100000,100000,0,0
2026-03-23T13:30:00+00:00,100000,100000,0,0
2026-03-24T13:30:00+00:00,100000,100000,0,0
2026-03-25T13:30:00+00:00,100000,100000,0,0
2026-03-26T13:30:00+00:00,100000,100000,0,0
2026-03-27T13:30:00+00:00,100000,100000,0,0
2026-03-30T13:30:00+00:00,100000,100000,0,0
2026-03-31T13:30:00+00:00,100000,100000,0,0
2026-04-01T13:30:00+00:00,100000,100000,0,0
2026-04-02T13:30:00+00:00,100000,100000,0,0
2026-04-06T13:30:00+00:00,100000,100000,0,0
2026-04-07T13:30:00+00:00,100000,100000,0,0
2026-04-08T13:30:00+00:00,100000,100000,0,0
2026-04-09T13:30:00+00:00,100000,100000,0,0
2026-04-10T13:30:00+00:00,100307.286549,86537.296549,1,0
2026-04-13T13:30:00+00:00,100356.926549,86537.296549,1,0
2026-04-14T13:30:00+00:00,101258.557305,73715.267305,2,0
2026-04-15T13:30:00+00:00,101403.277305,73715.267305,2,0
2026-04-16T13:30:00+00:00,101208.191517,57163.741517,3,-0.00192386
2026-04-17T13:30:00+00:00,101920.321517,57163.741517,3,0
2026-04-20T13:30:00+00:00,102002.061517,57163.741517,3,0
2026-04-21T13:30:00+00:00,101502.751517,57163.741517,3,-0.0048951
2026-04-22T13:30:00+00:00,102416.861517,57163.741517,3,0
2026-04-23T13:30:00+00:00,102209.361517,57163.741517,3,-0.00202603
2026-04-24T13:30:00+00:00,103164.641517,57163.741517,3,0
2026-04-27T13:30:00+00:00,103407.451517,57163.741517,3,0
2026-04-28T13:30:00+00:00,103265.637151,37429.607151,4,-0.00137141
2026-04-29T13:30:00+00:00,103243.617151,37429.607151,4,-0.00158436
2026-04-30T13:30:00+00:00,102902.297151,37429.607151,4,-0.00488509
2026-05-01T13:30:00+00:00,103727.417151,37429.607151,4,0
2026-05-04T13:30:00+00:00,103687.157151,37429.607151,4,-0.00038813
2026-05-05T13:30:00+00:00,104339.717151,37429.607151,4,0
2026-05-06T13:30:00+00:00,105874.387151,37429.607151,4,0
2026-05-07T13:30:00+00:00,105910.597151,37429.607151,4,0
2026-05-08T13:30:00+00:00,107113.987151,37429.607151,4,0
2026-05-11T13:30:00+00:00,107250.057151,37429.607151,4,0
2026-05-12T13:30:00+00:00,107302.11141,53718.85141,3,0
2026-05-13T13:30:00+00:00,108006.98141,53718.85141,3,0
2026-05-14T13:30:00+00:00,107964.23141,53718.85141,3,-0.00039581
2026-05-15T13:30:00+00:00,107600.43141,53718.85141,3,-0.00376411
2026-05-18T13:30:00+00:00,107398.91141,53718.85141,3,-0.00562991
2026-05-19T13:30:00+00:00,107045.91141,53718.85141,3,-0.00889822
2026-05-20T13:30:00+00:00,107898.38141,53718.85141,3,-0.00100549
